ID,height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans
1339,5,12,60,2.4,0.133,0.267,4,8,16,2
1355,8,7,56,0.875,0.304,0.946,1.55,17,53,11
1357,8,69,552,8.625,0.279,0.687,1.5,154,379,103
1358,8,55,440,6.875,0.243,0.657,1.39,107,289,77
1366,5,9,45,1.8,0.178,0.533,1.6,8,24,5
1374,7,6,42,0.857,0.214,0.286,9,9,12,1
1385,81,49,3969,0.605,0.113,0.398,2.26,449,1580,199
1395,11,271,2981,24.636,0.198,0.628,1.52,591,1872,388
1398,10,272,2720,27.2,0.211,0.772,1.43,573,2101,401
1404,4,9,36,2.25,0.417,1,1.67,15,36,9
1424,10,271,2710,27.1,0.173,0.557,1.47,469,1510,318
1440,10,234,2340,23.4,0.188,0.614,1.38,441,1437,319
1444,10,147,1470,14.7,0.168,0.55,1.29,247,809,191
1453,10,271,2710,27.1,0.193,0.693,1.37,522,1878,380
1461,8,46,368,5.75,0.285,0.791,1.42,105,291,74
1463,7,7,49,1,0.347,0.939,1.89,17,46,9
1477,11,103,1133,9.364,0.156,0.576,1.44,177,653,123
1483,7,30,210,4.286,0.295,0.876,1.77,62,184,35
1486,6,20,120,3.333,0.175,0.792,1.5,21,95,14
1506,5,13,65,2.6,0.308,0.831,1.82,20,54,11
1511,5,30,150,6,0.36,0.947,1.26,54,142,43
1518,7,9,63,1.286,0.317,0.984,2.22,20,62,9
1525,6,50,300,8.333,0.213,0.577,1.31,64,173,49
1527,5,43,215,8.6,0.233,0.8,1.35,50,172,37
1528,5,75,375,15,0.259,0.867,1.18,97,325,82
1529,4,18,72,4.5,0.333,0.667,1.71,24,48,14
1548,9,16,144,1.778,0.208,0.542,2.14,30,78,14
1566,6,41,246,6.833,0.224,0.85,1.2,55,209,46
1575,6,17,102,2.833,0.255,0.745,1.18,26,76,22
1591,9,15,135,1.667,0.178,0.556,1.6,24,75,15
1601,9,73,657,8.111,0.174,0.434,1.44,114,285,79
1638,7,4,28,0.571,0.286,0.964,8,8,27,1
1645,7,9,63,1.286,0.365,0.857,1.77,23,54,13
1646,7,6,42,0.857,0.452,1,1.9,19,42,10
1674,9,135,1215,15,0.249,0.626,1.56,302,761,193
1679,7,14,98,2,0.388,0.847,1.65,38,83,23
1687,10,262,2620,26.2,0.179,0.606,1.36,469,1587,344
1695,6,11,66,1.833,0.303,0.712,1.54,20,47,13
1714,7,29,203,4.143,0.36,0.936,1.4,73,190,52
1724,7,15,105,2.143,0.229,0.981,1.41,24,103,17
1728,7,19,133,2.714,0.361,0.917,1.5,48,122,32
1735,7,38,266,5.429,0.226,0.639,1.4,60,170,43
1739,6,4,24,0.667,0.458,1,2.2,11,24,5
1745,7,14,98,2,0.378,1,1.95,37,98,19
1749,7,26,182,3.714,0.269,0.929,1.23,49,169,40
1755,7,31,217,4.429,0.313,0.853,1.58,68,185,43
1798,7,13,91,1.857,0.396,1,1.33,36,91,27
1822,7,18,126,2.571,0.365,0.952,1.53,46,120,30
1855,7,23,161,3.286,0.286,0.677,1.59,46,109,29
1875,8,10,80,1.25,0.238,0.925,1.73,19,74,11
1879,6,16,96,2.667,0.198,0.76,2.38,19,73,8
1884,7,11,77,1.571,0.299,0.779,1.64,23,60,14
1897,1,14,14,14,0.571,1,2.67,8,14,3
1898,5,18,90,3.6,0.4,0.811,1.64,36,73,22
1904,8,26,208,3.25,0.236,0.779,1.26,49,162,39
1913,7,27,189,3.857,0.286,1,1.32,54,189,41
1920,7,30,210,4.286,0.329,1,1.38,69,210,50
1938,9,20,180,2.222,0.294,0.578,1.51,53,104,35
1970,7,4,28,0.571,0.393,0.679,3.67,11,19,3
1988,10,31,310,3.1,0.197,0.652,1.3,61,202,47
1989,10,38,380,3.8,0.187,0.463,1.37,71,176,52
1998,5,12,60,2.4,0.483,1,1.38,29,60,21
2000,6,13,78,2.167,0.333,0.846,1.37,26,66,19
2016,5,20,100,4,0.49,0.99,1.58,49,99,31
2017,9,20,180,2.222,0.233,0.5,1.62,42,90,26
2032,6,6,36,1,0.417,1,1.88,15,36,8
2033,7,17,119,2.429,0.311,0.908,1.54,37,108,24
2037,6,7,42,1.167,0.286,0.857,1.5,12,36,8
2051,7,11,77,1.571,0.403,0.961,1.55,31,74,20
2077,7,47,329,6.714,0.286,0.717,1.4,94,236,67
2078,7,11,77,1.571,0.299,0.649,1.77,23,50,13
2080,7,25,175,3.571,0.303,0.709,1.51,53,124,35
2083,6,26,156,4.333,0.288,0.679,1.41,45,106,32
2087,8,30,240,3.75,0.242,0.667,1.35,58,160,43
2092,7,19,133,2.714,0.338,0.827,1.67,45,110,27
2093,7,41,287,5.857,0.307,0.808,1.52,88,232,58
2094,7,11,77,1.571,0.416,0.974,1.52,32,75,21
2095,7,15,105,2.143,0.343,1,1.64,36,105,22
2100,7,23,161,3.286,0.273,0.839,1.47,44,135,30
2105,5,17,85,3.4,0.388,0.859,1.83,33,73,18
2122,5,43,215,8.6,0.456,1,1.42,98,215,69
2138,6,12,72,2,0.375,0.944,1.5,27,68,18
2142,9,30,270,3.333,0.285,0.6,1.51,77,162,51
2152,7,26,182,3.714,0.374,0.846,1.66,68,154,41
2159,7,15,105,2.143,0.371,0.829,1.77,39,87,22
2165,9,92,828,10.222,0.24,0.641,1.54,199,531,129
2167,7,52,364,7.429,0.266,0.959,1.21,97,349,80
2172,7,11,77,1.571,0.299,1,1.21,23,77,19
2206,9,11,99,1.222,0.283,0.939,1.56,28,93,18
2216,6,31,186,5.167,0.263,0.812,1.4,49,151,35
2217,6,68,408,11.333,0.257,0.672,1.15,105,274,91
2226,7,16,112,2.286,0.25,1,1.56,28,112,18
2262,5,11,55,2.2,0.4,0.927,1.57,22,51,14
2278,6,10,60,1.667,0.267,0.55,1.78,16,33,9
2289,6,20,120,3.333,0.367,0.967,1.38,44,116,32
2293,6,44,264,7.333,0.265,0.811,1.23,70,214,57
2310,7,9,63,1.286,0.429,0.683,2.45,27,43,11
2326,8,13,104,1.625,0.442,0.981,2,46,102,23
2336,22,22,484,1,0.107,0.473,1.79,52,229,29
2362,8,35,280,4.375,0.443,0.996,2.14,124,279,58
2371,10,79,790,7.9,0.324,0.671,2.19,256,530,117
2410,11,32,352,2.909,0.335,0.994,2.27,118,350,52
2420,13,5,65,0.385,0.323,0.554,5.25,21,36,4
2438,6,18,108,3,0.5,0.991,2.45,54,107,22
2439,17,9,153,0.529,0.209,0.497,1.88,32,76,17
2441,8,19,152,2.375,0.368,0.704,2.33,56,107,24
2455,8,6,48,0.75,0.375,0.792,3,18,38,6
2467,8,36,288,4.5,0.406,1,1.89,117,288,62
2468,11,30,330,2.727,0.297,0.6,2.39,98,198,41
2479,9,47,423,5.222,0.362,0.905,2.01,153,383,76
2488,11,45,495,4.091,0.267,0.733,2,132,363,66
2524,8,29,232,3.625,0.453,0.996,2.1,105,231,50
2529,7,23,161,3.286,0.447,0.764,1.89,72,123,38
2547,6,4,24,0.667,0.625,0.792,5,15,19,3
2548,10,271,2710,27.1,0.239,0.615,1.94,647,1668,333
2550,9,1,9,0.111,1,1,9,9,9,1
2557,8,23,184,2.875,0.38,0.989,1.75,70,182,40
2563,8,32,256,4,0.367,0.688,2.47,94,176,38
2573,8,6,48,0.75,0.396,0.813,1.58,19,39,12
2575,8,5,40,0.625,0.45,1,3,18,40,6
2585,8,7,56,0.875,0.375,1,2.63,21,56,8
2596,8,24,192,3,0.406,0.818,2.23,78,157,35
2599,8,53,424,6.625,0.344,0.884,1.83,146,375,80
2604,5,4,20,0.8,0.7,0.8,7,14,16,2
2616,8,16,128,2,0.398,0.828,2.68,51,106,19
2632,8,8,64,1,0.5,1,2.91,32,64,11
2634,9,20,180,2.222,0.35,0.728,1.91,63,131,33
2648,9,19,171,2.111,0.386,0.912,2.2,66,156,30
2649,8,20,160,2.5,0.456,1,2.35,73,160,31
2658,11,12,132,1.091,0.295,0.818,3,39,108,13
2662,9,64,576,7.111,0.345,0.694,2.29,199,400,87
2671,11,60,660,5.455,0.32,0.608,2.01,211,401,105
2696,10,18,180,1.8,0.383,1,2.3,69,180,30
2705,10,30,300,3,0.307,0.94,1.96,92,282,47
2737,9,12,108,1.333,0.491,0.889,2.41,53,96,22
2740,10,52,520,5.2,0.319,0.802,1.87,166,417,89
2762,8,7,56,0.875,0.464,1,2.36,26,56,11
2776,8,31,248,3.875,0.371,0.782,2,92,194,46
2778,8,33,264,4.125,0.424,0.867,2.24,112,229,50
2795,11,32,352,2.909,0.256,0.534,2,90,188,45
2802,8,28,224,3.5,0.46,0.79,2.58,103,177,40
2809,8,43,344,5.375,0.343,0.977,1.71,118,336,69
2819,6,7,42,1.167,0.5,0.976,2.1,21,41,10
2828,9,28,252,3.111,0.317,0.976,1.95,80,246,41
2831,8,27,216,3.375,0.343,0.778,1.76,74,168,42
2834,10,19,190,1.9,0.3,0.905,1.68,57,172,34
2844,11,27,297,2.455,0.303,0.596,2.43,90,177,37
2859,8,64,512,8,0.385,0.912,1.93,197,467,102
2874,8,14,112,1.75,0.482,0.759,3.38,54,85,16
2878,6,12,72,2,0.486,0.944,2.19,35,68,16
2887,8,24,192,3,0.417,0.953,1.9,80,183,42
2907,10,11,110,1.1,0.409,0.955,2.5,45,105,18
2927,7,10,70,1.429,0.386,0.914,2.08,27,64,13
2931,5,12,60,2.4,0.467,0.6,4.67,28,36,6
2939,10,23,230,2.3,0.27,0.648,2,62,149,31
2957,10,61,610,6.1,0.333,0.954,1.85,203,582,110
2965,34,27,918,0.794,0.219,0.554,3.09,201,509,65
2973,8,12,96,1.5,0.406,0.917,1.56,39,88,25
2974,16,29,464,1.813,0.144,0.496,2.58,67,230,26
2980,8,12,96,1.5,0.375,0.927,1.8,36,89,20
2985,10,15,150,1.5,0.313,0.78,2.24,47,117,21
2987,7,20,140,2.857,0.493,0.979,1.82,69,137,38
2988,7,20,140,2.857,0.457,0.857,2.46,64,120,26
2990,5,3,15,0.6,0.6,0.6,9,9,9,1
3007,6,15,90,2.5,0.467,0.711,3.23,42,64,13
3029,8,34,272,4.25,0.36,0.717,1.88,98,195,52
3035,10,9,90,0.9,0.356,0.933,1.6,32,84,20
3044,10,15,150,1.5,0.3,1,1.88,45,150,24
3052,7,20,140,2.857,0.464,0.9,2.71,65,126,24
3058,10,16,160,1.6,0.338,0.888,2.08,54,142,26
3072,8,59,472,7.375,0.307,0.775,1.84,145,366,79
3076,10,41,410,4.1,0.302,0.69,2.07,124,283,60
3088,8,24,192,3,0.318,0.974,1.56,61,187,39
3089,10,66,660,6.6,0.27,0.638,1.87,178,421,95
3095,10,25,250,2.5,0.34,0.816,1.89,85,204,45
3102,8,12,96,1.5,0.396,0.969,1.81,38,93,21
3109,8,19,152,2.375,0.395,0.704,1.94,60,107,31
3113,10,23,230,2.3,0.287,0.617,2.2,66,142,30
3138,8,23,184,2.875,0.451,0.832,2.08,83,153,40
3141,8,20,160,2.5,0.363,0.931,1.93,58,149,30
3150,6,10,60,1.667,0.483,0.933,2.07,29,56,14
3157,8,37,296,4.625,0.334,0.831,1.87,99,246,53
3164,8,30,240,3.75,0.342,0.896,2,82,215,41
3171,8,13,104,1.625,0.356,0.942,1.76,37,98,21
3183,8,34,272,4.25,0.379,0.971,1.84,103,264,56
3202,10,262,2620,26.2,0.281,0.691,1.89,736,1811,390
3212,8,12,96,1.5,0.427,0.906,2.16,41,87,19
3221,10,34,340,3.4,0.279,0.8,1.86,95,272,51
3238,10,52,520,5.2,0.298,0.752,2.09,155,391,74
3257,10,261,2610,26.1,0.269,0.713,1.81,701,1860,388
3262,10,52,520,5.2,0.294,0.675,2.13,153,351,72
3264,8,17,136,2.125,0.441,0.978,1.67,60,133,36
3269,8,4,32,0.5,0.594,1,2.71,19,32,7
3280,7,13,91,1.857,0.429,0.945,2.05,39,86,19
3288,8,12,96,1.5,0.385,0.698,2.47,37,67,15
3289,8,50,400,6.25,0.36,0.728,1.97,144,291,73
3290,7,9,63,1.286,0.365,0.698,1.64,23,44,14
3296,5,27,135,5.4,0.548,1,2.18,74,135,34
3298,5,15,75,3,0.547,0.947,2.05,41,71,20
3343,7,45,315,6.429,0.381,0.771,2.22,120,243,54
3345,9,40,360,4.444,0.275,0.875,1.6,99,315,62
3371,8,28,224,3.5,0.397,0.996,2.07,89,223,43
3376,11,262,2882,23.818,0.238,0.57,1.84,685,1643,373
3384,10,93,930,9.3,0.268,0.784,1.78,249,729,140
3387,8,25,200,3.125,0.3,0.59,2.22,60,118,27
3388,10,43,430,4.3,0.256,0.707,1.8,110,304,61
3392,8,18,144,2.25,0.174,0.458,2.5,25,66,10
3403,7,25,175,3.571,0.349,0.737,2.26,61,129,27
3415,8,23,184,2.875,0.321,0.897,1.51,59,165,39
3416,10,116,1160,11.6,0.246,0.759,1.6,285,881,178
3418,8,40,320,5,0.347,0.913,1.63,111,292,68
3419,10,48,480,4.8,0.3,0.556,2.15,144,267,67
3421,8,18,144,2.25,0.354,0.757,1.65,51,109,31
3443,13,38,494,2.923,0.314,0.957,3.6,155,473,43
3447,25,291,7275,11.64,0.466,0.957,7.34,3392,6963,462
3455,8,82,656,10.25,0.396,0.713,2.63,260,468,99
3457,8,106,848,13.25,0.358,0.698,2.29,304,592,133
3462,2,536,1072,268,0.505,0.512,180.33,541,549,3
3465,7,11,77,1.571,0.234,0.545,2.57,18,42,7
3468,6,32,192,5.333,0.286,0.891,1.41,55,171,39
3473,7,51,357,7.286,0.207,0.969,1.14,74,346,65
3481,2,535,1070,267.5,0.564,0.614,40.2,603,657,15
3489,9,510,4590,56.667,0.149,0.541,1.22,686,2484,561
3494,2,19,38,9.5,0.184,0.789,1.4,7,30,5
3501,8,280,2240,35,0.191,0.709,1.28,427,1589,333
3504,9,343,3087,38.111,0.162,0.677,1.24,499,2091,401
3517,6,13,78,2.167,0.256,0.974,1.54,20,76,13
3518,9,508,4572,56.444,0.164,0.69,1.22,748,3154,614
3529,30,60,1800,2,0.154,0.457,1.85,278,823,150
3532,24,176,4224,7.333,0.496,0.969,7.85,2096,4094,267
3537,25,291,7275,11.64,0.456,0.934,7.29,3315,6796,455
3566,10,508,5080,50.8,0.1,0.343,1.36,506,1742,372
3567,7,163,1141,23.286,0.212,0.831,1.31,242,948,185
3591,25,491,12275,19.64,0.454,0.937,7.21,5572,11502,773
3619,6,103,618,17.167,0.248,0.909,1.23,153,562,124
3626,7,193,1351,27.571,0.206,0.813,1.37,278,1099,203
3630,1,263,263,263,0.152,1,1.03,40,263,39
3631,10,499,4990,49.9,0.147,0.631,1.27,733,3150,575
3655,6,29,174,4.833,0.42,0.937,1.92,73,163,38
3660,9,535,4815,59.444,0.146,0.634,1.32,704,3052,534
3680,13,228,2964,17.538,0.264,0.942,3.29,783,2791,238
3681,24,471,11304,19.625,0.474,0.921,7.9,5363,10409,679
3683,8,62,496,7.75,0.361,0.877,3.03,179,435,59
3693,9,250,2250,27.778,0.347,0.737,2.44,781,1659,320
3708,9,536,4824,59.556,0.091,0.358,1.38,441,1725,320
3710,9,217,1953,24.111,0.168,0.686,1.4,329,1339,235
3713,7,86,602,12.286,0.244,0.831,1.27,147,500,116
3717,6,75,450,12.5,0.356,0.973,1.47,160,438,109
3721,9,535,4815,59.444,0.165,0.636,1.38,793,3063,573
3761,9,103,927,11.444,0.164,0.771,1.22,152,715,125
3779,1,148,148,148,0.986,1,73,146,148,2
3786,9,127,1143,14.111,0.174,0.718,1.28,199,821,155
3801,1,81,81,81,0.901,1,24.33,73,81,3
3807,13,104,1352,8,0.246,0.699,4.05,332,945,82
3813,25,294,7350,11.76,0.471,0.907,7.72,3459,6663,448
3819,8,215,1720,26.875,0.416,0.808,2.94,715,1389,243
3826,9,168,1512,18.667,0.315,0.697,2.15,476,1054,221
3853,8,15,120,1.875,0.317,0.742,2,38,89,19
3855,10,510,5100,51,0.162,0.537,1.47,827,2741,564
3869,10,510,5100,51,0.163,0.542,1.36,832,2763,612
3871,8,195,1560,24.375,0.175,0.965,1.24,273,1506,221
3879,14,227,3178,16.214,0.237,0.839,3.34,754,2667,226
3880,13,38,494,2.923,0.324,0.935,3.81,160,462,42
3881,28,61,1708,2.179,0.172,0.509,1.97,294,870,149
3912,7,53,371,7.571,0.267,0.679,1.57,99,252,63
3936,9,172,1548,19.111,0.171,0.731,1.31,265,1131,202
3938,8,158,1264,19.75,0.102,0.346,1.33,129,437,97
3943,7,151,1057,21.571,0.077,0.434,1.33,81,459,61
3958,8,60,480,7.5,0.433,0.842,3.01,208,404,69
3975,6,32,192,5.333,0.286,0.76,1.41,55,146,39
3990,9,172,1548,19.111,0.167,0.678,1.28,258,1050,202
3994,6,13,78,2.167,0.346,0.846,2.7,27,66,10
3995,8,510,4080,63.75,0.144,0.531,1.32,586,2166,444
3997,9,177,1593,19.667,0.196,0.75,1.38,313,1195,227
4001,10,511,5110,51.1,0.141,0.529,1.3,721,2701,555
4008,9,163,1467,18.111,0.148,0.667,1.28,217,978,170
4018,9,268,2412,29.778,0.198,0.637,1.36,478,1536,351
4030,7,50,350,7.143,0.214,0.96,1.23,75,336,61
4058,6,31,186,5.167,0.301,0.844,1.65,56,157,34
4060,9,457,4113,50.778,0.173,0.63,1.28,712,2590,555
4080,9,264,2376,29.333,0.197,0.656,1.34,468,1558,349
4085,7,71,497,10.143,0.231,0.757,1.37,115,376,84
4086,9,310,2790,34.444,0.17,0.792,1.27,475,2211,375
4103,7,69,483,9.857,0.188,0.754,1.28,91,364,71
4106,1,50,50,50,0.2,1,1.11,10,50,9
4115,7,75,525,10.714,0.661,0.907,5.51,347,476,63
4120,39,1,39,0.026,1,1,39,39,39,1
4124,38,1,38,0.026,1,1,38,38,38,1
4127,11,53,583,4.818,0.225,0.485,3.45,131,283,38
4148,1,10,10,10,0.8,1,4,8,10,2
4152,10,37,370,3.7,0.592,0.722,8.11,219,267,27
4157,13,80,1040,6.154,0.434,0.536,5.57,451,557,81
4167,10,31,310,3.1,0.645,0.774,6.67,200,240,30
4181,12,257,3084,21.417,0.283,0.615,3,872,1898,291
4183,11,17,187,1.545,0.321,0.652,4.29,60,122,14
4191,13,53,689,4.077,0.509,0.624,5.75,351,430,61
4197,7,7,49,1,0.918,0.959,22.5,45,47,2
4203,11,275,3025,25,0.287,0.637,2.83,868,1928,307
4218,1,104,104,104,0.971,1,50.5,101,104,2
4250,14,91,1274,6.5,0.389,0.628,5.05,495,800,98
4264,187,137,25619,0.733,0.899,0.991,29.29,23025,25400,786
4266,54,357,19278,6.611,0.299,0.655,6.4,5766,12626,901
4296,10,186,1860,18.6,0.347,0.771,2.42,645,1434,267
4297,14,265,3710,18.929,0.354,0.565,4.47,1315,2097,294
4318,1,39,39,39,0.308,1,1.71,12,39,7
4319,1,34,34,34,0.353,1,1.71,12,34,7
4346,14,269,3766,19.214,0.337,0.625,4.61,1271,2353,276
4353,1,255,255,255,0.686,1,4.86,175,255,36
4354,1,10,10,10,1,1,10,10,10,1
4357,178,140,24920,0.787,0.574,0.649,21.52,14292,16177,664
4360,28,171,4788,6.107,0.258,0.912,1.99,1235,4369,621
4362,9,83,747,9.222,0.391,0.795,3.21,292,594,91
4378,13,130,1690,10,0.392,0.697,4.77,663,1178,139
4387,13,159,2067,12.231,0.412,0.627,4.81,852,1296,177
4399,17,245,4165,14.412,0.913,0.997,12.97,3801,4152,293
4400,12,332,3984,27.667,0.402,0.659,4.5,1602,2626,356
4403,12,175,2100,14.583,0.403,0.774,4.28,847,1625,198
4416,128,347,44416,2.711,0.399,0.567,13.07,17721,25163,1356
4417,8,50,400,6.25,0.528,0.955,3.01,211,382,70
4426,11,183,2013,16.636,0.465,0.841,4.53,937,1693,207
4436,11,62,682,5.636,0.353,0.78,3.21,241,532,75
4438,14,390,5460,27.857,0.358,0.59,4.44,1956,3224,441
4440,13,123,1599,9.462,0.428,0.798,4.38,684,1276,156
4444,10,19,190,1.9,0.621,0.858,8.43,118,163,14
4449,14,417,5838,29.786,0.359,0.559,4.48,2094,3262,467
4461,12,383,4596,31.917,0.307,0.603,2.91,1409,2771,485
4462,12,1,12,0.083,1,1,12,12,12,1
4464,9,1,9,0.111,1,1,9,9,9,1
4465,6,54,324,9,0.549,0.96,3.36,178,311,53
4501,10,19,190,1.9,0.6,0.895,8.14,114,170,14
4513,1,15,15,15,0.533,1,2,8,15,4
4528,13,133,1729,10.231,0.36,0.721,4.9,622,1247,127
